 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação
Imuno: 073 Hepatite B
Período:2014-2019
"Unidade da Federação";"Coberturas_Vacinais"
"11 Rondônia";100,42
"12 Acre";70,83
"13 Amazonas";84,75
"14 Roraima";84,63
"15 Pará";65,89
"16 Amapá";73,32
"17 Tocantins";89,92
"21 Maranhão";78,73
"22 Piauí";79,99
"23 Ceará";101,55
"24 Rio Grande do Norte";78,52
"25 Paraíba";86,67
"26 Pernambuco";92,26
"27 Alagoas";88,29
"28 Sergipe";84,51
"29 Bahia";79,11
"31 Minas Gerais";93,51
"32 Espírito Santo";93,21
"33 Rio de Janeiro";90,44
"35 São Paulo";93,02
"41 Paraná";95,32
"42 Santa Catarina";97,00
"43 Rio Grande do Sul";89,14
"50 Mato Grosso do Sul";99,74
"51 Mato Grosso";90,44
"52 Goiás";87,26
"53 Distrito Federal";92,18
"Total";89,09
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

