 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:2001
"Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"11 Rondônia";35213;30453;32260;35178;28759;32178;31830;31790;257661
"12 Acre";20105;11618;16969;15264;10326;11786;14421;9418;109907
"13 Amazonas";84517;51602;70224;77150;21800;56472;73991;51095;486851
"14 Roraima";10048;7409;8215;8862;6034;7801;8150;7117;63636
"15 Pará";183776;114362;167304;155593;73406;130337;193029;118631;1136438
"16 Amapá";26502;22829;22652;26017;18748;22850;23932;21626;185156
"17 Tocantins";32660;26782;31687;28425;22080;28444;28992;26662;225732
"21 Maranhão";172299;106159;135696;131913;107837;117668;145256;99237;1016065
"22 Piauí";68485;56009;62529;35956;55425;58659;60840;53753;451656
"23 Ceará";185396;167478;175683;8398;168791;171560;178116;166614;1222036
"24 Rio Grande do Norte";57418;47115;48954;1462;22292;49254;51807;43499;321801
"25 Paraíba";80286;63846;68622;274;61704;67914;70863;60998;474507
"26 Pernambuco";194924;143058;171659;12759;114183;147015;173725;127426;1084749
"27 Alagoas";73659;51061;57381;181;38327;55715;61505;51104;388933
"28 Sergipe";44729;36940;40441;1346;41617;40178;42028;38156;285435
"29 Bahia";311442;246493;287171;233506;272812;265259;271655;239521;2127859
"31 Minas Gerais";327789;299943;316183;266468;323627;309889;323926;305231;2473056
"32 Espírito Santo";60841;56243;62695;12498;58228;57837;58372;53688;420402
"33 Rio de Janeiro";258744;209013;227932;4087;235152;222344;243061;215876;1616209
"35 São Paulo";701361;606430;652826;46493;721664;642869;676195;640777;4688615
"41 Paraná";187968;169693;176895;425;181806;176698;180100;173688;1247273
"42 Santa Catarina";91855;87108;93090;2839;95856;92529;93289;92512;649078
"43 Rio Grande do Sul";167780;150414;157621;3150;40376;157942;161233;157211;995727
"50 Mato Grosso do Sul";48083;39192;44591;43818;40458;42175;42311;42532;343160
"51 Mato Grosso";57838;44522;58840;55370;43908;50467;58155;47176;416276
"52 Goiás";102643;84854;93959;94557;90660;90844;94122;89822;741461
"53 Distrito Federal";57632;42871;45724;305;49055;47024;21;47798;290430
"Total";3643993;2973497;3327803;1302294;2944931;3153708;3360925;3012958;23720109
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

