 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:1997
"Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"11 Rondônia";35505;11181;27372;28727;27588;30986;-;161359
"12 Acre";12384;1699;10176;11092;5607;12023;-;52981
"13 Amazonas";72388;8046;56596;49059;38722;70281;-;295092
"14 Roraima";9237;2208;5831;3791;5257;7874;-;34198
"15 Pará";174889;7582;73342;43164;96399;141060;-;536436
"16 Amapá";10189;1364;10015;1219;9140;10656;-;42583
"17 Tocantins";29557;6489;26282;15790;22190;32106;-;132414
"21 Maranhão";153225;608;80400;23730;61647;131626;-;451236
"22 Piauí";63535;-;37363;411;31891;45664;-;178864
"23 Ceará";215827;6;179325;-;136040;216058;-;747256
"24 Rio Grande do Norte";57042;3;42005;273;43231;52987;-;195541
"25 Paraíba";77338;11;59820;-;55853;66424;-;259446
"26 Pernambuco";211107;534;194554;102;114347;186133;-;706777
"27 Alagoas";59381;69;33319;76;21884;43339;-;158068
"28 Sergipe";46970;13;37269;-;35687;39992;-;159931
"29 Bahia";261086;156;173392;67;158582;219222;-;812505
"31 Minas Gerais";301189;67;243283;921;208363;344689;3;1098515
"32 Espírito Santo";60761;18645;53174;1254;53179;56864;-;243877
"33 Rio de Janeiro";294463;759;222365;136;178748;239709;8;936188
"35 São Paulo";795671;-;643143;-;590873;810336;-;2840023
"41 Paraná";202587;87585;178827;488;176908;224486;881;871762
"42 Santa Catarina";108326;20286;88088;25;77889;100512;148;395274
"43 Rio Grande do Sul";179670;167;154346;31;153471;164345;-;652030
"50 Mato Grosso do Sul";49702;65;33022;21259;32711;34204;-;170963
"51 Mato Grosso";60070;169;52233;14977;45894;51800;-;225143
"52 Goiás";102276;1130;64129;29875;57552;106819;-;361781
"53 Distrito Federal";65566;14496;48029;1798;46888;186;2;176965
"Total";3709941;183338;2827700;248265;2486541;3440381;1042;12897208
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

